row col x_slope y_slope
0 0 -0.0459508896 -0.4694776535
0 1 -0.1300642490 -0.2445001602
0 2 -0.3300060034 -0.1667572260
0 3 -0.0857738256 -0.2011904716
0 4 -0.0120292902 0.0581345558
0 5 -0.3405920267 -0.0431457758
0 6 0.0428652763 0.2044205666
0 7 0.3582004309 -0.2864575386
0 8 0.5338965654 -0.2037781477
0 9 -0.0610498190 -0.0195705891
0 10 0.0711179972 0.0744754076
0 11 0.1820447445 0.3041845560
0 12 -0.0638245344 -0.4689979553
0 13 -0.0258746147 0.4586622715
0 14 -0.0110272169 0.4628171921
0 15 0.1041984558 -0.3268097639
1 0 -0.2372175455 -0.7653412819
1 1 0.2638833523 -0.5541679859
1 2 -0.1862565279 -0.9317579269
1 3 0.0746232271 -0.2065649033
1 4 0.1789008379 -0.4276496172
1 5 -0.1519329548 -0.0458835363
1 6 0.0304813385 -0.2003685236
1 7 -0.0118900537 -0.1115928888
1 8 0.1942718029 -0.2063078880
1 9 -0.1768348217 -0.1356153488
1 10 0.3611409664 -0.3427982330
1 11 0.1892671585 -0.4185686111
1 12 -0.3765517473 -0.7999759912
1 13 -0.0014705658 0.1304752827
1 14 0.4001708031 -0.5331249237
1 15 -0.1150138378 -0.4243139029
2 0 -0.1710335016 -0.0240876675
2 1 0.3010091782 -0.0209770203
2 2 -0.0272940397 -0.1858668327
2 3 0.6456645727 0.0128632784
2 4 0.4719836712 -0.1526128054
2 5 -0.0907955170 0.5409888029
2 6 -0.0551923513 0.0742399693
2 7 0.1093257666 0.1196879148
2 8 0.1078644991 0.4711105824
2 9 -0.0056290627 0.1999018192
2 10 0.3888247013 -0.0519341230
2 11 0.2161965370 -0.1104354858
2 12 -0.0557893515 -0.1003715992
2 13 -0.0188444853 0.0541931391
2 14 0.2143912315 0.4194556475
2 15 0.0476683378 0.5249538422
3 0 -0.3712409735 0.0456458330
3 1 0.3217517138 -0.3252393007
3 2 0.2824687958 0.4858275652
3 3 0.4363455772 0.3076856136
3 4 0.3658529520 0.1918427944
3 5 -0.1082071066 0.1593471766
3 6 0.0965772867 -0.0518682003
3 7 -0.1021959782 0.0885690451
3 8 -0.1097799540 0.6594197750
3 9 -0.1098890305 -0.1370732784
3 10 0.3147506714 -0.3052681684
3 11 -0.1036554575 0.0218046904
3 12 0.3357454538 -0.0968018770
3 13 0.0646053553 0.3712770939
3 14 -0.0997606516 -0.9276431799
3 15 0.1756286621 -0.7489547729
4 0 0.0083143711 0.2056152821
4 1 -0.0191391706 -0.1472989321
4 2 0.1774092913 -0.0243780613
4 3 -0.6146162748 0.3498041630
4 4 0.2853167057 0.0115729570
4 5 0.1584128141 0.1976362467
4 6 0.1716440916 -0.1809165478
4 7 0.2962672710 0.3647420406
4 8 0.0810571909 0.6361808777
4 9 -0.3133569956 0.3428206444
4 10 -0.2841395140 -0.2777512074
4 11 -0.2397472858 0.5113731623
4 12 0.2903107405 -0.0015441179
4 13 0.3533338308 0.0772632360
4 14 -0.1178584099 -0.0201537609
4 15 -0.1384652853 0.2867171764
5 0 -0.1241230965 -0.5666432381
5 1 0.1114157438 0.3367019892
5 2 0.4235545397 0.0020506382
5 3 -0.1167143583 -0.1167143583
5 4 0.2839690447 -0.5628874302
5 5 0.0194439888 0.3258835077
5 6 0.0586017370 0.2075946331
5 7 0.2515311241 -0.0313588381
5 8 0.0682272911 -0.3903464079
5 9 0.1486171484 -0.2382042408
5 10 0.7140196562 -0.4032975435
5 11 -0.1619749069 -0.0563472509
5 12 0.2007315159 -0.2343158722
5 13 -0.0300188065 -0.6061338186
5 14 0.0391873121 -0.1685848236
