x_centroid y_centroid
7.5698516369 7.0845007896
7.4394285679 7.1328603029
7.3159019947 7.4179086685
7.4614441395 7.3105241060
7.2671350241 7.5195554495
6.9765403271 7.6429386139
7.3561033010 7.5547916889
7.6227691174 7.1395567656
7.9435843229 7.3704293966
7.1895350218 7.4950696230
7.1788593531 7.5919996500
7.5772930384 7.7477096319
7.3150887489 7.0640678406
7.3058019876 7.9535003901
7.3257493973 7.9987803698
7.3804473877 7.1275920868
7.3103162050 6.8471463919
7.5830053091 6.8734143972
7.2666747570 6.4774051905
7.2825689316 7.4299963713
7.2839077711 7.1754237413
6.9988433123 7.3224462271
7.1453908682 7.3176428080
7.2381566763 7.4206761122
7.3499828577 7.2993394136
6.9639075994 7.3721337318
7.6006135941 7.0778135061
7.5429154634 7.1745656729
6.8280111551 6.6974895000
7.0612291098 7.5651198626
7.6480767727 6.9682868719
7.2938970327 7.0051714182
7.2604755163 7.4596689939
7.5190030336 7.3625115156
7.2232096195 7.4413777590
7.6874101162 7.5135251284
7.7595525980 7.4058290720
7.5415897369 7.9269362688
7.3222733736 7.5940701962
7.2258454561 7.5835772753
7.2777651548 7.9735559225
7.0441331863 7.6763355732
7.6632797718 7.3490281105
7.5832880735 7.4864333868
7.2163879871 7.3670552969
7.2320104837 7.6703671217
7.3337477446 7.9987308979
7.3563613892 7.9758712053
7.0177634954 7.3988109827
7.5378320217 7.1444208622
7.5227847099 -7.8683102131
7.7506836653 7.6936693192
7.9953135252 7.8621228933
7.3560146093 7.5483117104
7.4703869820 7.4144256115
7.2820171118 7.7438070774
7.2118443251 -7.9575026035
7.1117594242 7.2404621840
7.4626624584 7.2954715490
7.2047261000 7.5461244583
7.5279735327 7.5022234917
7.3864207268 7.7019418478
7.1721545458 6.5906708241
7.4256235361 6.8860070705
7.5197229385 7.6730931997
7.3178522587 7.4412945509
7.4572002888 7.4744453430
6.6737428904 7.6997601986
7.4768970013 7.6670364141
7.4701352119 7.6459270716
7.3741413355 7.2686423063
7.3729569912 7.8816916943
7.3555358648 -7.8937429190
7.1434004307 7.8065841198
7.1081333160 7.2331178188
7.0256712437 -7.8501632214
7.4039392471 7.4358780384
7.6062527895 7.5426794291
7.2429552078 7.6622648239
7.3895332813 7.6034507751
7.3104928732 7.0234760046
7.3561785221 7.8063354492
7.6531691551 7.5733795166
7.1199842691 7.2561056614
7.5306005478 6.8837907314
7.4292665720 7.9592772722
7.3414320946 7.6810361147
7.7081412077 7.4726877213
7.3557972908 7.0937991142
7.2449463606 7.1840375662
7.9243023396 7.1635570526
7.2033475637 7.3387991190
7.4642417431 7.3151082993
7.0925045013 6.9499825239
7.2417086363 7.3821409941
7.4398014545 7.2839149237
7.3548512459 6.7150930166
7.4940614700 7.1113336086
7.4580558538 6.9566999674
7.4399564266 7.0297932625
7.5848203897 6.6336909533
7.3901237249 6.9826135635
7.4532036781 6.7896924019
7.4282571077 6.9258290529
7.4252128601 7.0230484009
7.1891068220 7.0382155180
7.6942662001 6.9205628633
7.8785259724 6.5878589153
7.2723876238 6.5146746635
7.5662339926 6.2896447182
7.1385890245 6.4423784018
7.4073754549 6.6481428146
7.9592880011 -7.3702883720
7.8868100643 -7.6685312986
7.3582816124 -7.0685784817
-7.9654214382 -7.2777808905
6.8694812059 -6.7156087160
7.7644370794 -7.5461491346
7.5244420767 -7.1929826736
7.9424035549 -6.8591496944
7.4330300093 -7.3790351152
7.3412753344 -7.8063488007
-7.8558454514 -7.5076999664
7.6924502850 -7.3835172653
7.5289977789 -7.7590134144
7.6368812323 -7.9876836538
7.8685554266 7.4902006388
7.4314230680 -7.6099843979
6.7759983540 5.6670351028
6.9512283802 3.8680920601
7.1732289791 3.9777170420
6.9459767342 3.6668502092
7.3200618029 3.6848993301
7.9019776583 3.7627704144
-7.8279308081 4.0353296995
7.6255407333 3.5823966265
7.2134532928 3.7338126898
7.6566538811 3.5625690222
7.4705358744 3.5915824175
7.6129983664 3.3479740620
7.4928476810 3.4083769321
-7.8821244240 3.5528975725
6.8370975256 3.4474108219
-7.9042527676 4.6877400875
6.9067468643 3.8551309109
7.7605535984 4.2604219913
7.6323566437 3.5142353773
7.5743526220 3.6337361336
7.8978314400 3.7176581621
7.0743447542 3.1380231380
7.1637010574 2.9496858120
7.9946380854 3.0615789890
-7.9074379206 3.0321379900
-7.9442347288 3.4897960424
7.4287207127 3.5367898941
7.0028648376 2.8758850098
7.3308119774 2.7944294214
7.3523890972 2.9712927341
7.2646623850 2.8840539455
7.3590978384 2.6563385725
-6.1658794880 -3.7911648750
-6.8365031481 -3.6464987993
-6.7498202324 -3.6412627697
-6.6690810919 -3.6360424757
-6.5940700769 -3.6313724518
-6.5240612030 -3.6269954443
-6.4617538452 -3.6241041422
-7.1277136803 -4.1673281193
-5.9175766706 -4.7387750149
-7.1447169781 -4.8682332039
-6.2775081396 -4.8608672619
-6.2204880714 -4.8653223515
-6.1670941114 -4.8695933819
-6.1166976690 -4.8733569384
-6.0693860054 -4.8770539761
-6.9096550941 -4.8457211256
7.8570108414 -6.5956642628
7.1515667439 -7.7449880838
6.8343242407 -7.2054711580
-7.9339741468 -6.9724602699
-7.5036761761 7.8138415813
6.3068190813 -5.6667885780
-7.7143585682 -5.3356760740
-7.5084646940 -5.7105009556
6.6472057104 -5.6263756752
-7.6887090206 -5.0980724096
7.3327647448 -6.4009499550
6.4448111057 -6.6264607906
-7.6762933731 -6.5834422112
7.9042251110 -6.5881485939
6.9240721464 -6.1242763996
6.9503266811 -4.6807621717
-7.9035947323 7.1815111637
-7.7796353102 7.6795648336
-7.8155865669 7.6994004250
7.8881019354 7.5442993641
7.8720144033 7.1390401125
-7.9559035301 7.5541744232
7.8334320784 7.6386951208
7.9494438171 7.3541625738
7.8693724871 7.6868690252
-7.7839308977 7.4506800175
7.9884821177 7.2317315340
-7.8165209293 7.3499778509
7.9617413282 7.3214530945
7.9494787455 7.8095058203
-7.7394679785 7.6222484112
-7.9402389526 7.5276070833
7.9632924795 7.6623060703
7.8868392706 7.3327021599
7.9850617647 7.2765715122
7.8648979664 7.5256022215
-7.7936620712 7.6554224491
7.6343202591 7.5365546942
7.8605337143 7.4694199562
7.8006230593 7.5002745390
-7.7606139183 7.3314846754
7.8075820208 7.5064927340
-7.9929075241 7.6593875885
7.9343962669 7.4152119160
7.7869582176 7.8945863247
7.9734110832 7.3534677029
-7.8565050364 7.4889863729
-7.9825927019 7.3497849703
-7.9602003098 7.1881814003
7.6295042038 7.3402941227
7.9450017214 7.5584107637
7.7084106207 7.5713014603
7.8076343536 7.6237227917
-7.8391115665 7.6223438978
-7.8451501131 7.4631940126
-7.8036587238 7.2641984224
7.9981789589 7.7524635792
7.7590616941 7.4319648743
-7.9573520422 7.7293074131
-7.7946640253 7.6261851788
7.7044104338 7.8856719732
-7.8853536844 7.6058816910
7.9971373081 7.4696607590
7.7487338781 7.4636602402
7.6382943392 -7.9311553240
7.6863907576 -7.9537916183
-7.9186879396 7.5599480867
