row col x_centroid y_centroid
0 0 0.0000000000 0.0000000000
0 1 0.0000000000 0.0000000000
0 2 0.0000000000 0.0000000000
0 3 0.0000000000 0.0000000000
0 4 0.0000000000 0.0000000000
0 5 15.0000000000 6.5000000000
0 6 2.1308912039 7.4345589876
0 7 5.4706956148 7.4358969927
0 8 9.6118330956 7.4473221302
0 9 12.8586456776 7.4659725428
0 10 0.0000000000 6.5000000000
0 11 0.0000000000 0.0000000000
0 12 0.0000000000 0.0000000000
0 13 0.0000000000 0.0000000000
0 14 0.0000000000 0.0000000000
0 15 0.0000000000 0.0000000000
1 0 0.0000000000 0.0000000000
1 1 0.0000000000 0.0000000000
1 2 0.0000000000 0.0000000000
1 3 0.0000000000 0.0000000000
1 4 3.5865935087 6.4385498762
1 5 2.9811724424 6.3976385593
1 6 2.1386191845 6.4042173624
1 7 4.9669461250 6.3989208937
1 8 10.0601179600 6.4132480621
1 9 12.8535333872 6.4299514294
1 10 12.0024009943 6.4402549267
1 11 11.4094848633 6.4540469646
1 12 0.0000000000 0.0000000000
1 13 0.0000000000 0.0000000000
1 14 0.0000000000 0.0000000000
1 15 0.0000000000 0.0000000000
2 0 0.0000000000 0.0000000000
2 1 0.0000000000 0.0000000000
2 2 3.9999998808 3.9999998808
2 3 4.5676964521 5.4169279337
2 4 3.6216484308 5.4501575232
2 5 2.9647300243 5.4450203180
2 6 2.1557233334 5.4385670424
2 7 4.9401525259 5.4367004633
2 8 10.0299720764 5.4523907900
2 9 12.8522775173 5.4665218592
2 10 12.0166037083 5.4777308702
2 11 11.3824778795 5.4925209284
2 12 10.4285902977 5.4777364731
2 13 10.9999998808 3.9999998808
2 14 0.0000000000 0.0000000000
2 15 0.0000000000 0.0000000000
3 0 0.0000000000 0.0000000000
3 1 0.0000000000 0.0000000000
3 2 5.4676972628 4.5000040531
3 3 4.5974808931 4.5384713411
3 4 3.6135965586 4.5265499353
3 5 2.9554919004 4.5362401009
3 6 2.1322699785 4.5470789671
3 7 4.9017794132 4.5510493517
3 8 10.0076123476 4.5541114807
3 9 12.8122469187 4.5622400045
3 10 12.0454959869 4.5729037523
3 11 11.3923031092 4.5831471682
3 12 10.4306626320 4.6010470390
3 13 9.5068836212 4.6094908714
3 14 0.0000000000 0.0000000000
3 15 0.0000000000 0.0000000000
4 0 0.0000000000 0.0000000000
4 1 6.3926532269 3.4915242195
4 2 5.5202987194 3.5705125332
4 3 4.5957505703 3.5691534281
4 4 3.6384931803 3.5753917694
4 5 2.9675707817 3.5794949532
4 6 2.1268616915 3.5863473415
4 7 4.8799306154 3.5941076279
4 8 9.9915695190 3.6044611931
4 9 12.8072216511 3.6175898314
4 10 12.0301496983 3.6230635643
4 11 11.3976352215 3.6184329987
4 12 10.4434776306 3.6268589497
4 13 9.5133422613 3.6574178934
4 14 8.5126044750 3.6358541250
4 15 0.0000000000 0.0000000000
5 0 6.5000000000 15.0000000000
5 1 6.4441971779 2.9906057119
5 2 5.5217838287 2.9450205564
5 3 4.6043494940 2.9338910580
5 4 3.6447881460 2.9333305359
5 5 2.9655072689 2.9259536266
5 6 2.1128401756 2.9399639368
5 7 4.8514325619 2.9781295061
5 8 10.0082166195 2.9642667770
5 9 12.8306082487 2.9535192251
5 10 12.0568990707 2.9430866241
5 11 11.4164916277 2.9488514662
5 12 10.4518338442 2.9533735514
5 13 9.5391086340 2.9666335583
5 14 8.5535708666 2.9845235348
5 15 8.9999998808 14.9999998808
6 0 7.1734659672 2.3622437716
6 1 6.4947052002 2.1733583212
6 2 5.5285332203 2.1712441444
6 3 4.6230074167 2.1362137794
6 4 3.6656136513 2.1475633383
6 5 2.9938085079 2.1405007839
6 6 2.2872065306 2.3236269951
6 7 4.9222532511 2.2679008245
6 8 9.8632353544 2.2774103880
6 9 12.6273474693 2.2734861374
6 10 12.0507464409 2.0859251022
6 11 11.4194258451 2.0960515738
6 12 10.4548293352 2.0892654657
