row col x_slope y_slope
0 0 -7.5000000000 -7.5000000000
0 1 -7.5000000000 -7.5000000000
0 2 -7.5000000000 -7.5000000000
0 3 -7.5000000000 -7.5000000000
0 4 -7.5000000000 -7.5000000000
0 5 7.5000000000 -1.0000000000
0 6 -5.3691087961 -0.0654410124
0 7 -2.0293043852 -0.0641030073
0 8 2.1118330956 -0.0526778698
0 9 5.3586456776 -0.0340274572
0 10 -7.5000000000 -1.0000000000
0 11 -7.5000000000 -7.5000000000
0 12 -7.5000000000 -7.5000000000
0 13 -7.5000000000 -7.5000000000
0 14 -7.5000000000 -7.5000000000
0 15 -7.5000000000 -7.5000000000
1 0 -7.5000000000 -7.5000000000
1 1 -7.5000000000 -7.5000000000
1 2 -7.5000000000 -7.5000000000
1 3 -7.5000000000 -7.5000000000
1 4 -3.9134064913 -1.0614501238
1 5 -4.5188275576 -1.1023614407
1 6 -5.3613808155 -1.0957826376
1 7 -2.5330538750 -1.1010791063
1 8 2.5601179600 -1.0867519379
1 9 5.3535333872 -1.0700485706
1 10 4.5024009943 -1.0597450733
1 11 3.9094848633 -1.0459530354
1 12 -7.5000000000 -7.5000000000
1 13 -7.5000000000 -7.5000000000
1 14 -7.5000000000 -7.5000000000
1 15 -7.5000000000 -7.5000000000
2 0 -7.5000000000 -7.5000000000
2 1 -7.5000000000 -7.5000000000
2 2 -3.5000001192 -3.5000001192
2 3 -2.9323035479 -2.0830720663
2 4 -3.8783515692 -2.0498424768
2 5 -4.5352699757 -2.0549796820
2 6 -5.3442766666 -2.0614329576
2 7 -2.5598474741 -2.0632995367
2 8 2.5299720764 -2.0476092100
2 9 5.3522775173 -2.0334781408
2 10 4.5166037083 -2.0222691298
2 11 3.8824778795 -2.0074790716
2 12 2.9285902977 -2.0222635269
2 13 3.4999998808 -3.5000001192
2 14 -7.5000000000 -7.5000000000
2 15 -7.5000000000 -7.5000000000
3 0 -7.5000000000 -7.5000000000
3 1 -7.5000000000 -7.5000000000
3 2 -2.0323027372 -2.9999959469
3 3 -2.9025191069 -2.9615286589
3 4 -3.8864034414 -2.9734500647
3 5 -4.5445080996 -2.9637598991
3 6 -5.3677300215 -2.9529210329
3 7 -2.5982205868 -2.9489506483
3 8 2.5076123476 -2.9458885193
3 9 5.3122469187 -2.9377599955
3 10 4.5454959869 -2.9270962477
3 11 3.8923031092 -2.9168528318
3 12 2.9306626320 -2.8989529610
3 13 2.0068836212 -2.8905091286
3 14 -7.5000000000 -7.5000000000
3 15 -7.5000000000 -7.5000000000
4 0 -7.5000000000 -7.5000000000
4 1 -1.1073467731 -4.0084757805
4 2 -1.9797012806 -3.9294874668
4 3 -2.9042494297 -3.9308465719
4 4 -3.8615068197 -3.9246082306
4 5 -4.5324292183 -3.9205050468
4 6 -5.3731383085 -3.9136526585
4 7 -2.6200693846 -3.9058923721
4 8 2.4915695190 -3.8955388069
4 9 5.3072216511 -3.8824101686
4 10 4.5301496983 -3.8769364357
4 11 3.8976352215 -3.8815670013
4 12 2.9434776306 -3.8731410503
4 13 2.0133422613 -3.8425821066
4 14 1.0126044750 -3.8641458750
4 15 -7.5000000000 -7.5000000000
5 0 -1.0000000000 7.5000000000
5 1 -1.0558028221 -4.5093942881
5 2 -1.9782161713 -4.5549794436
5 3 -2.8956505060 -4.5661089420
5 4 -3.8552118540 -4.5666694641
5 5 -4.5344927311 -4.5740463734
5 6 -5.3871598244 -4.5600360632
5 7 -2.6485674381 -4.5218704939
5 8 2.5082166195 -4.5357332230
5 9 5.3306082487 -4.5464807749
5 10 4.5568990707 -4.5569133759
5 11 3.9164916277 -4.5511485338
5 12 2.9518338442 -4.5466264486
5 13 2.0391086340 -4.5333664417
5 14 1.0535708666 -4.5154764652
5 15 1.4999998808 7.4999998808
6 0 -0.3265340328 -5.1377562284
6 1 -1.0052947998 -5.3266416788
6 2 -1.9714667797 -5.3287558556
6 3 -2.8769925833 -5.3637862206
6 4 -3.8343863487 -5.3524366617
6 5 -4.5061914921 -5.3594992161
6 6 -5.2127934694 -5.1763730049
6 7 -2.5777467489 -5.2320991755
6 8 2.3632353544 -5.2225896120
6 9 5.1273474693 -5.2265138626
6 10 4.5507464409 -5.4140748978
6 11 3.9194258451 -5.4039484262
6 12 2.9548293352 -5.4107345343
6 13 2.0410903692 -5.4338309765
6 14 1.0720400810 -5.4050157070
6 15 -0.1631002426 -5.4839569330
7 0 -0.1323459148 -1.9705829620
7 1 -0.9892355204 -2.5414656401
7 2 -1.9684833288 -2.5523271561
7 3 -2.8716400862 -2.6088044643
7 4 -3.8310254812 -2.6198925972
7 5 -4.4969776869 -2.6431671381
7 6 -5.2262204885 -2.5413968563
7 7 -5.2097177505 -5.1982086897
7 8 5.1038453579 -5.2230770588
7 9 5.1894636154 -2.6160669327
7 10 4.5455918312 -2.7384073734
7 11 3.9329621792 -2.7478344440
7 12 2.9738491774 -2.7783237696
7 13 2.0640044212 -2.8519331217
7 14 1.0837841034 -2.8587770462
7 15 -0.0152028799 -2.4182467461
8 0 -0.1380659342 2.1828277111
8 1 -0.9759511948 2.6505907774
8 2 -1.9521638155 2.6265370846
8 3 -2.8632788658 2.6167618036
8 4 -3.8377170563 2.5950415134
8 5 -4.4962686300 2.5553519726
8 6 -5.2321786880 2.4210543633
8 7 -5.2259881496 5.1402280331
8 8 5.0721786022 5.0875043869
8 9 5.1871128082 2.3266609907
8 10 4.5434643030 2.3704124689
8 11 3.9225660563 2.3315250874
8 12 2.9639527798 2.3075591326
8 13 2.0657187700 2.3028790951
8 14 1.0940488577 2.2943477631
8 15 -0.0392937660 1.7193927765
9 0 -0.3351073265 5.4202111959
9 1 -0.9586771727 5.3559505939
9 2 -1.9464308023 5.3441532850
9 3 -2.8558733463 5.3563535213
9 4 -3.8287270069 5.3494554758
9 5 -4.5124169588 5.3447438478
9 6 -5.2229188681 5.1218628883
9 7 -2.6818410158 5.2110339403
9 8 2.2783108950 5.1850132942
9 9 5.0622571707 5.0918490887
9 10 4.5529845953 5.2746957541
9 11 3.9251208305 5.2455384731
9 12 2.9693974257 5.2466627359
9 13 2.0720241070 5.2317315340
9 14 1.0987209082 5.2178311348
9 15 -0.2180860043 4.8085091114
10 0 -1.0000000000 -7.5000000000
10 1 -1.0401809216 4.5248380899
10 2 -1.9220561981 4.5644085407
10 3 -2.8564677238 4.5704898834
10 4 -3.8212182522 4.5633690357
10 5 -4.5151801109 4.5749074221
10 6 -5.4119130373 4.5642721653
10 7 -2.7709465027 4.5745353699
10 8 2.3117209673 4.5388270617
10 9 5.2634826899 4.5682749748
10 10 4.5641549826 4.5761790276
10 11 3.9411422014 4.5651106834
10 12 2.9815542698 4.5729353428
10 13 2.0661379099 4.5775073767
10 14 1.0619570017 4.4999629259
10 15 -7.5000000000 -7.5000000000
11 0 -7.5000000000 -7.5000000000
11 1 -1.1164834499 3.9886254072
11 2 -1.9102567434 3.9102556705
11 3 -2.8539531231 3.9253520966
11 4 -3.8148338795 3.9258292913
11 5 -4.5240086317 3.9373683929
11 6 -5.3932760954 3.9386360645
11 7 -2.8048005104 3.9571666718
11 8 2.2901501656 3.9512757063
11 9 5.2462911606 3.9601316452
11 10 4.5568461418 3.9690349102
11 11 3.9520045519 3.9690620899
11 12 2.9978963137 3.9798892736
11 13 2.0836076736 3.9973473549
11 14 0.9548033476 4.0014480352
11 15 -7.5000000000 -7.5000000000
12 0 -7.5000000000 -7.5000000000
12 1 -7.5000000000 -7.5000000000
12 2 -2.0037993193 2.9962061644
12 3 -2.8460612297 2.9713622332
12 4 -3.8107876778 2.9809572697
12 5 -4.5093114376 2.9855262041
12 6 -5.3995802402 2.9788430929
12 7 -2.8463459015 3.0035599470
12 8 2.2878570557 3.0037491322
12 9 5.2348845005 3.0145176649
12 10 4.5637058020 3.0241394043
12 11 3.9655808210 3.0354243517
12 12 2.9747501612 3.0358029604
12 13 2.0256724358 2.9961246252
12 14 -7.5000000000 -7.5000000000
12 15 -7.5000000000 -7.5000000000
13 0 -7.5000000000 -7.5000000000
13 1 -7.5000000000 -7.5000000000
13 2 -3.5000001192 3.4999998808
13 3 -2.8644754887 2.0849845409
13 4 -3.8056411743 2.0612435341
13 5 -4.4968779087 2.0781158209
13 6 -5.4109163284 2.0981200933
13 7 -2.8924837112 2.1176996231
13 8 2.2865755558 2.1161381006
13 9 5.2200857401 2.1278523207
13 10 4.5715759993 2.1348541975
13 11 3.9726619720 2.1312911510
13 12 2.9454886913 2.0732140541
13 13 -7.5000000000 1.4999998808
13 14 -7.5000000000 -7.5000000000
13 15 -7.5000000000 -7.5000000000
14 0 -7.5000000000 -7.5000000000
14 1 -7.5000000000 -7.5000000000
14 2 -7.5000000000 -7.5000000000
14 3 -7.5000000000 -7.5000000000
14 4 -3.8370795250 1.0224698782
14 5 -4.4572538137 1.1092377901
14 6 -5.4346207380 1.1377226114
14 7 -2.9244203568 1.1692707539
14 8 2.2997407913 1.1687119007
14 9 5.1892668009 1.1694521904
14 10 4.4892388582 1.1233365536
14 11 3.9064182043 1.0233809948
14 12 -7.5000000000 -7.5000000000
14 13 -7.5000000000 -7.5000000000
14 14 -7.5000000000 -7.5000000000
14 15 -7.5000000000 -7.5000000000
15 0 -7.5000000000 -7.5000000000
15 1 -7.5000000000 -7.5000000000
15 2 -7.5000000000 -7.5000000000
15 3 -7.5000000000 -7.5000000000
15 4 -7.5000000000 -7.5000000000
15 5 -7.5000000000 -7.5000000000
15 6 -5.4890716076 -0.1775977612
15 7 -2.5467836857 -0.0068225861
15 8 1.7003531456 0.0139000416
15 9 4.8478231430 -0.1086974144
15 10 -7.5000000000 -7.5000000000
15 11 -7.5000000000 -7.5000000000
15 12 -7.5000000000 -7.5000000000
15 13 -7.5000000000 -7.5000000000
15 14 -7.5000000000 -7.5000000000
15 15 -7.5000000000 -7.5000000000
