x_slope y_slope
0.0698516369 -0.4154992104
-0.0605714321 -0.3671396971
-0.1840980053 -0.0820913315
-0.0385558605 -0.1894758940
-0.2328649759 0.0195554495
-0.5234596729 0.1429386139
-0.1438966990 0.0547916889
0.1227691174 -0.3604432344
0.4435843229 -0.1295706034
-0.3104649782 -0.0049303770
-0.3211406469 0.0919996500
0.0772930384 0.2477096319
-0.1849112511 -0.4359321594
-0.1941980124 0.4535003901
-0.1742506027 0.4987803698
-0.1195526123 -0.3724079132
-0.1896837950 -0.6528536081
0.0830053091 -0.6265856028
-0.2333252430 -1.0225948095
-0.2174310684 -0.0700036287
-0.2160922289 -0.3245762587
-0.5011566877 -0.1775537729
-0.3546091318 -0.1823571920
-0.2618433237 -0.0793238878
-0.1500171423 -0.2006605864
-0.5360924006 -0.1278662682
0.1006135941 -0.4221864939
0.0429154634 -0.3254343271
-0.6719888449 -0.8025105000
-0.4387708902 0.0651198626
0.1480767727 -0.5317131281
-0.2061029673 -0.4948285818
-0.2395244837 -0.0403310061
0.0190030336 -0.1374884844
-0.2767903805 -0.0586222410
0.1874101162 0.0135251284
0.2595525980 -0.0941709280
0.0415897369 0.4269362688
-0.1777266264 0.0940701962
-0.2741545439 0.0835772753
-0.2222348452 0.4735559225
-0.4558668137 0.1763355732
0.1632797718 -0.1509718895
0.0832880735 -0.0135666132
-0.2836120129 -0.1329447031
-0.2679895163 0.1703671217
-0.1662522554 0.4987308979
-0.1436386108 0.4758712053
-0.4822365046 -0.1011890173
0.0378320217 -0.3555791378
0.0227847099 0.6316897869
0.2506836653 0.1936693192
0.4953135252 0.3621228933
-0.1439853907 0.0483117104
-0.0296130180 -0.0855743885
-0.2179828882 0.2438070774
-0.2881556749 0.5424973965
-0.3882405758 -0.2595378160
-0.0373375416 -0.2045284510
-0.2952739000 0.0461244583
0.0279735327 0.0022234917
-0.1135792732 0.2019418478
-0.3278454542 -0.9093291759
-0.0743764639 -0.6139929295
0.0197229385 0.1730931997
-0.1821477413 -0.0587054491
-0.0427997112 -0.0255546570
-0.8262571096 0.1997601986
-0.0231029987 0.1670364141
-0.0298647881 0.1459270716
-0.1258586645 -0.2313576937
-0.1270430088 0.3816916943
-0.1444641352 0.6062570810
-0.3565995693 0.3065841198
-0.3918666840 -0.2668821812
-0.4743287563 0.6498367786
-0.0960607529 -0.0641219616
0.1062527895 0.0426794291
-0.2570447922 0.1622648239
-0.1104667187 0.1034507751
-0.1895071268 -0.4765239954
-0.1438214779 0.3063354492
0.1531691551 0.0733795166
-0.3800157309 -0.2438943386
0.0306005478 -0.6162092686
-0.0707334280 0.4592772722
-0.1585679054 0.1810361147
0.2081412077 -0.0273122787
