input_u16,output_q16_hex,output_q16,div0,sat,norm_shift,lut_idx,a_q1_15,x0_q0_16,x1_q0_16
0,0xFFFF,65535,1,1,0,0,0x0000,0x0000,0x0000
1,0xFFFF,65535,0,0,15,0,0x8000,0xFF80,0xFFFF
2,0x8000,32768,0,0,14,0,0x8000,0xFF80,0xFFFF
3,0x5556,21846,0,0,14,128,0xC000,0xAA72,0xAAAB
4,0x4000,16384,0,0,13,0,0x8000,0xFF80,0xFFFF
5,0x3334,13108,0,0,13,64,0xA000,0xCC7B,0xCCCE
6,0x2AAB,10923,0,0,13,128,0xC000,0xAA72,0xAAAB
7,0x2492,9362,0,0,13,192,0xE000,0x921F,0x9249
8,0x2000,8192,0,0,12,0,0x8000,0xFF80,0xFFFF
9,0x1C72,7282,0,0,12,32,0x9000,0xE329,0xE38E
10,0x199A,6554,0,0,12,64,0xA000,0xCC7B,0xCCCE
11,0x1746,5958,0,0,12,96,0xB000,0xB9EB,0xBA2F
12,0x1555,5461,0,0,12,128,0xC000,0xAA72,0xAAAB
13,0x13B1,5041,0,0,12,160,0xD000,0x9D59,0x9D8A
14,0x1249,4681,0,0,12,192,0xE000,0x921F,0x9249
15,0x1111,4369,0,0,12,224,0xF000,0x8864,0x8889
16,0x1000,4096,0,0,11,0,0x8000,0xFF80,0xFFFF
17,0x0F0F,3855,0,0,11,16,0x8800,0xF080,0xF0F1
18,0x0E39,3641,0,0,11,32,0x9000,0xE329,0xE38E
19,0x0D79,3449,0,0,11,48,0x9800,0xD73A,0xD795
20,0x0CCD,3277,0,0,11,64,0xA000,0xCC7B,0xCCCE
21,0x0C31,3121,0,0,11,80,0xA800,0xC2C2,0xC30D
22,0x0BA3,2979,0,0,11,96,0xB000,0xB9EB,0xBA2F
23,0x0B21,2849,0,0,11,112,0xB800,0xB1D8,0xB217
24,0x0AAB,2731,0,0,11,128,0xC000,0xAA72,0xAAAB
25,0x0A3D,2621,0,0,11,144,0xC800,0xA3A3,0xA3D7
26,0x09D9,2521,0,0,11,160,0xD000,0x9D59,0x9D8A
27,0x097B,2427,0,0,11,176,0xD800,0x9787,0x97B5
28,0x0925,2341,0,0,11,192,0xE000,0x921F,0x9249
29,0x08D4,2260,0,0,11,208,0xE800,0x8D17,0x8D3F
30,0x0889,2185,0,0,11,224,0xF000,0x8864,0x8889
31,0x0842,2114,0,0,11,240,0xF800,0x83FF,0x8421
32,0x0800,2048,0,0,10,0,0x8000,0xFF80,0xFFFF
33,0x07C2,1986,0,0,10,8,0x8400,0xF7C6,0xF83E
34,0x0788,1928,0,0,10,16,0x8800,0xF080,0xF0F1
35,0x0751,1873,0,0,10,24,0x8C00,0xE9A4,0xEA10
36,0x071C,1820,0,0,10,32,0x9000,0xE329,0xE38E
37,0x06EB,1771,0,0,10,40,0x9400,0xDD08,0xDD69
38,0x06BD,1725,0,0,10,48,0x9800,0xD73A,0xD795
39,0x0690,1680,0,0,10,56,0x9C00,0xD1B7,0xD20E
40,0x0666,1638,0,0,10,64,0xA000,0xCC7B,0xCCCE
41,0x063E,1598,0,0,10,72,0xA400,0xC780,0xC7CE
42,0x0618,1560,0,0,10,80,0xA800,0xC2C2,0xC30D
43,0x05F4,1524,0,0,10,88,0xAC00,0xBE3C,0xBE83
44,0x05D1,1489,0,0,10,96,0xB000,0xB9EB,0xBA2F
45,0x05B0,1456,0,0,10,104,0xB400,0xB5CB,0xB60C
46,0x0591,1425,0,0,10,112,0xB800,0xB1D8,0xB217
47,0x0572,1394,0,0,10,120,0xBC00,0xAE11,0xAE4D
48,0x0555,1365,0,0,10,128,0xC000,0xAA72,0xAAAB
49,0x053A,1338,0,0,10,136,0xC400,0xA6F8,0xA730
50,0x051F,1311,0,0,10,144,0xC800,0xA3A3,0xA3D7
51,0x0505,1285,0,0,10,152,0xCC00,0xA06E,0xA0A1
52,0x04EC,1260,0,0,10,160,0xD000,0x9D59,0x9D8A
53,0x04D5,1237,0,0,10,168,0xD400,0x9A62,0x9A91
54,0x04BE,1214,0,0,10,176,0xD800,0x9787,0x97B5
55,0x04A8,1192,0,0,10,184,0xDC00,0x94C7,0x94F2
56,0x0492,1170,0,0,10,192,0xE000,0x921F,0x9249
57,0x047E,1150,0,0,10,200,0xE400,0x8F90,0x8FB8
58,0x046A,1130,0,0,10,208,0xE800,0x8D17,0x8D3F
