"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","MonthlyAverageWindSpeed","CoolingDegreeDaysSeasonToDate","MonthlyCoolingDegreeDays","MonthlyNumberDaysWithSnowfall","HeatingDegreeDaysSeasonToDate","MonthlyHeatingDegreeDays","MonthlyNumberDaysWithThunderstorms","MonthlyNumberDaysWithHeavyFog","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"USW00014751","2011-01-01T00:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","223","1020.7","-4.0","-1.0","","","","","80.0","","1021.2","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET092METAR KCXY 010456Z AUTO 00000KT 5SM HZ CLR M01/M04 A3014 RMK AO2 SLP212 T10111039 400721050;","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T00:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","SOD","","","","","","","","","","","","","","","","","","0730","1651","","3.1","","","","","1.2","0","2.16","15.2","8.3","-2.1","100","5.4","0.0","","","100","4.5","BR HZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T00:56:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","343","1020.3","-3.9","-1.1","0.0","HZ:7 ||HZ","-1.0","8","82.0","CLR:00","1020.7","1007.6","8.047","-2.1","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11201/01/11 00:56:02 METAR KCXY 010556Z 00000KT 5SM HZ CLR M01/M04 A3013 RMK AO2 SLP207 T10111039 10011 21022 58010","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T01:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","223","1020.3","-4.0","-1.0","","","-1.0","8","80.0","","1020.7","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET100METAR KCXY 010556Z AUTO 00000KT 5SM HZ CLR M01/M04 A3013 RMK AO2 SLP207 T10111039 10011 21022 58010;","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T01:56:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","343","1020.3","-3.9","-1.7","0.0","BR:1 |BR |","","","85.0","CLR:00","1020.7","1007.6","6.437","-2.5","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09401/01/11 01:56:02 METAR KCXY 010656Z 00000KT 4SM BR CLR M02/M04 A3013 RMK AO2 SLP207 T10171039","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T02:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","223","1020.3","-4.0","-2.0","","","","","86.0","","1020.7","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET082METAR KCXY 010656Z AUTO 00000KT 4SM BR CLR M02/M04 A3013 RMK AO2 SLP207 T10171039;","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T02:56:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","343","1020.0","-2.8","-1.1","0.0","BR:1 |BR |","","","88.0","CLR:00","1020.5","1007.2","6.437","-1.7","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09401/01/11 02:56:02 METAR KCXY 010756Z 00000KT 4SM BR CLR M01/M03 A3012 RMK AO2 SLP205 T10111028","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T03:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","223","1020.0","-3.0","-1.0","","","","","86.0","","1020.5","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET082METAR KCXY 010756Z AUTO 00000KT 4SM BR CLR M01/M03 A3012 RMK AO2 SLP205 T10111028;","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T03:56:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","343","1020.3","-3.9","-2.2","0.0","BR:1 |BR |","-0.1","5","88.0","CLR:00","1020.6","1007.6","6.437","-2.8","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10001/01/11 03:56:02 METAR KCXY 010856Z 00000KT 4SM BR CLR M02/M04 A3013 RMK AO2 SLP206 T10221039 55001","","","","","","","","","","07/12/2007"
"USW00014751","2011-01-01T04:00:00","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","FM-15","223","1020.3","-4.0","-2.0","","","-0.1","5","86.0","","1020.6","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET088METAR KCXY 010856Z AUTO 00000KT 4SM BR CLR M02/M04 A3013 RMK AO2 SLP206 T10221039 55001;","","","","","","","","","","07/12/2007"
